epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,676.843,0.6251,0.59816,0.00748,0.8286,0.94695,0.94669,0.70288,0.99243,0.52215,0.01685,0.00018325,0.00018325,0.00018325
167,681.283,0.59401,0.5349,0.00765,0.80982,0.94604,0.94412,0.70393,0.95718,0.56963,0.01634,0.0001783,0.0001783,0.0001783
168,684.901,0.63774,0.57487,0.00859,0.81914,0.94412,0.94297,0.70487,0.94346,0.56811,0.01606,0.00017335,0.00017335,0.00017335
169,688.863,0.63402,0.63714,0.00793,0.83249,0.9523,0.94426,0.70954,0.95825,0.52912,0.01632,0.0001684,0.0001684,0.0001684
170,692.755,0.62045,0.57656,0.008,0.84747,0.95308,0.94806,0.70877,0.96128,0.53079,0.01654,0.00016345,0.00016345,0.00016345
171,696.529,0.64031,0.58489,0.00897,0.86178,0.94344,0.94807,0.71107,0.95549,0.53423,0.0164,0.0001585,0.0001585,0.0001585
172,700.177,0.63546,0.55642,0.00774,0.86436,0.94129,0.94628,0.70488,0.95717,0.53617,0.01646,0.00015355,0.00015355,0.00015355
173,703.97,0.62861,0.58618,0.00862,0.88302,0.93715,0.93961,0.70025,0.96366,0.54792,0.01649,0.0001486,0.0001486,0.0001486
174,708.701,0.62426,0.54829,0.00813,0.89614,0.92747,0.94167,0.7022,0.95654,0.54843,0.01643,0.00014365,0.00014365,0.00014365
175,715.541,0.62606,0.57923,0.00787,0.87441,0.92762,0.93916,0.70259,0.95569,0.54457,0.01644,0.0001387,0.0001387,0.0001387
176,720.941,0.61741,0.56793,0.00829,0.8857,0.9229,0.93896,0.70351,0.95621,0.54845,0.01644,0.00013375,0.00013375,0.00013375
177,725.223,0.63285,0.614,0.0085,0.87922,0.92519,0.94564,0.70502,0.94634,0.55253,0.01608,0.0001288,0.0001288,0.0001288
178,729.559,0.63034,0.58084,0.00851,0.88546,0.90489,0.94367,0.70266,0.95358,0.55253,0.01619,0.00012385,0.00012385,0.00012385
179,733.888,0.6362,0.59582,0.00811,0.84778,0.92027,0.9408,0.70111,0.96677,0.56024,0.01635,0.0001189,0.0001189,0.0001189
180,737.997,0.59114,0.5405,0.0075,0.84962,0.9201,0.93884,0.69432,0.9776,0.56228,0.01656,0.00011395,0.00011395,0.00011395
181,742.398,0.62326,0.58354,0.00807,0.84263,0.9268,0.94202,0.70072,0.99528,0.56243,0.01689,0.000109,0.000109,0.000109
